"HospitalName" "Address" "District" "Phone" "Update_DtTm" "Normal_Bed_Total" "Normal_Bed_Vacant" "O2_Bed_Total" "O2_Bed_Vacant" "ICU_Bed_Total" "ICU_Bed_Vacant" "All_Bed_Total" "All_Bed_Vacant" "importDate"
"CCC - Government Primary Health Center, Thayilpatty , Virudhunagar" "Government Primary Health Center, Thayilpatty , Virudhunagar,Government Primary Health Center, Thayilpatty , Virudhunagar,Vembakkottai" "Virudhunagar" "9994180247" "Last Updated on: 30/04/2021 02:30 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
"CCC - Government Primary Health Center, Zameen Kollankondan, Virudhunagar" "Government Primary Health Center, Zameen Kollankondan, Virudhunagar,Government Primary Health Center, Zameen Kollankondan, Virudhunagar,Rajapalayam" "Virudhunagar" "9600349033" "Last Updated on: 24/05/2021 05:22 PM" 10 8 0 0 0 0 10 8 "2021-05-24"
"CCC - Kalasalingam Institute of Technology" "Kalasalingam Institute of Technology,Kalasalingam Institute of Technology,Srivlliputhur" "Virudhunagar" "9894899543" "Last Updated on: 24/05/2021 08:49 PM" 200 102 0 0 0 0 200 102 "2021-05-24"
" CHC - Kumaran Hospital, No.36B Sedam Kinathu Street" "" "Virudhunagar" "9790422204" "Last Updated on: 24/05/2021 09:41 PM" 5 0 0 0 0 0 5 0 "2021-05-24"
"CHC - MSB Multispeciality Hospital" "Tiruthangal,Sivakasi" "Virudhunagar" "9842717831" "Last Updated on: 24/05/2021 02:33 PM" 2 0 7 0 3 0 12 0 "2021-05-24"
"CHC - Meenakshi Memorial Hospital, Rajapalayam" "164 PACR ROAD,RAILWAY GATE NEAR,RAJAPALAYAM,Rajapalayam" "Virudhunagar" "63811251139025461813" "Last Updated on: 24/05/2021 02:44 PM" 11 6 15 0 5 0 31 6 "2021-05-24"
"CCC - Mepco Engineering College, Sivakasi" "Mepco Engineering College, Sivakasi,Mepco Engineering College, Sivakasi,Sivakasi" "Virudhunagar" "9943627379" "Last Updated on: 24/05/2021 07:39 PM" 208 88 0 0 0 0 208 88 "2021-05-24"
"CHC - Rajapalayam Govt. Hospital" "Sub District Hospital Rajapalayam,Thenkasi main Road Rajapalayam,Rajapalayam,Rajapalayam" "Virudhunagar" "9499966187" "Last Updated on: 24/05/2021 04:25 PM" 95 37 50 15 5 5 150 57 "2021-05-24"
"CCC - Ramco Institute of Technology" "Ramco Institute of Technology,Ramco Institute of Technology,Rajapalayam" "Virudhunagar" "9600349033" "Last Updated on: 24/05/2021 08:25 PM" 306 35 0 0 0 0 306 35 "2021-05-24"
"CHC - SBJ Health Centre Pvt Ltd, Sivakasi" "52 - A, A.S.K THANGAIAH ROAD,,NEAR HIND MATCHES,SIVAKASI,Sivakasi" "Virudhunagar" "8883374222 (9.00 AM TO 8.30 PM)" "Last Updated on: 24/05/2021 03:08 PM" 1 0 5 0 8 0 14 0 "2021-05-24"
"CCC - SIT, Kariapatti" "Kariapatti,Kariyapatti" "Virudhunagar" "8754608986" "Last Updated on: 24/05/2021 08:28 PM" 200 76 0 0 0 0 200 76 "2021-05-24"
"CCC - SRNM College (GPHC, Uppathur)" "Government Primary Health Center, Uppathur , Virudhunagar,Government Primary Health Center, Uppathur , Virudhunagar,Sattur" "Virudhunagar" "8056969134" "Last Updated on: 24/05/2021 04:52 PM" 110 7 0 0 0 0 110 7 "2021-05-24"
"CHC - Sattur GH" "GOVERNMENT HOSPITAL- SATTUR,HOUSING BOARD,Sattur,Sattur" "Virudhunagar" "04562260215" "Last Updated on: 24/05/2021 05:24 PM" 27 9 21 0 2 0 50 9 "2021-05-24"
"CHO - Shivasankar Hospital & RC, Virudhunagar" "" "Virudhunagar" "9344606044" "Last Updated on: 24/05/2021 02:55 PM" 9 5 2 1 0 0 11 6 "2021-05-24"
" CHC - Sivakasi Covid Health Centre, No.1, Gandhi Road" "" "Virudhunagar" "9025955650" "Last Updated on: 24/05/2021 02:24 PM" 0 0 25 1 0 0 25 1 "2021-05-24"
"CHC - Sivakasi Govt. Hospital" "RAILWAY FEEDER ROAD,SIVAKASI,Sivakasi,Sivakasi" "Virudhunagar" "9600400063" "Last Updated on: 24/05/2021 06:19 PM" 56 0 44 0 0 0 100 0 "2021-05-24"
"CCC - Sowdambika College of Engineering" "Sowdambiga Engineering College,Aruppukottai" "Virudhunagar" "8883945941" "Last Updated on: 24/05/2021 06:58 PM" 70 2 0 0 0 0 70 2 "2021-05-24"
"CHC - Sri Krishna Hospital, Rajapalayam" "218B, PACR Salai, Srirengapalayam, Rajapalayam.,Rajapalayam" "Virudhunagar" "9159098003" "Last Updated on: 24/05/2021 03:02 PM" 0 0 30 0 5 0 35 0 "2021-05-24"
"CHO - Sri Ram Hospital - Sugasthala,Aruppukottai" "No 11,Pattabiramar kovil street,Aruppkottai,Aruppukottai" "Virudhunagar" "9842312336" "Last Updated on: 24/05/2021 03:19 PM" 16 7 7 2 2 0 25 9 "2021-05-24"
" CHC - Sruthi Hospital,Sivakasi" "" "Virudhunagar" "7810024980" "Last Updated on: 24/05/2021 01:07 PM" 0 0 9 0 2 0 11 0 "2021-05-24"
"CHC - VVVNC, Chatrarediapatti" "5/496A Madurai road,NH7,NH,Virudhunagar" "Virudhunagar" "8667344274" "Last Updated on: 24/05/2021 02:55 PM" 10 10 15 2 15 0 40 12 "2021-05-24"
" CHC - Vimala Clinic No.5, Jodhidam Veerappan Street.," "" "Virudhunagar" "9965595624" "Last Updated on: 24/05/2021 03:55 PM" 7 0 6 0 0 0 13 0 "2021-05-24"
"CHO - Virudhunagar Medical College" "Govt. Hospital,Ramamoorthi Road,Virudhunagar,Virudhunagar" "Virudhunagar" "9499966185 (24hrs)" "Last Updated on: 24/05/2021 05:20 PM" 84 16 106 0 40 0 230 16 "2021-05-24"
"CCC - ANM training school, Thiruvennainallur" "" "Villupuram" "8526086145" "Last Updated on: 24/05/2021 04:55 PM" 100 80 0 0 0 0 100 80 "2021-05-24"
"CCC - Anniyur" "Anniyur Health care center,Anniyur Health care center,Anniyur,Vikkiravandi" "Villupuram" "7639408284" "Last Updated on: 22/05/2021 12:12 AM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CHC - E.S.HOSPITAL,VILLUPURAM TN." " No: 32-B, Trichy Trunk Road, Viluppuram, Tamil Nadu 605602, No: 32-B, Trichy Trunk Road, Viluppuram, Tamil Nadu 605602,Villupuram,Villupuram" "Villupuram" "7397795017" "Last Updated on: 24/05/2021 06:22 PM" 17 0 18 0 7 0 42 0 "2021-05-24"
"CHC - GINGEE GH" "Thindivanam road,Gingee" "Villupuram" "9787706227" "Last Updated on: 24/05/2021 05:31 PM" 4 1 12 0 0 0 16 1 "2021-05-24"
"CHO - GVMCH" "Mundiyampakkam,Villupuram" "Villupuram" "04146232400 (24hrs)04146232900 (24hrs)" "Last Updated on: 24/05/2021 05:14 PM" 80 3 370 0 80 0 530 3 "2021-05-24"
"CCC - Govt BEd College Villupuram" "" "Villupuram" "9865677099" "Last Updated on: 24/05/2021 10:52 AM" 130 51 0 0 0 0 130 51 "2021-05-24"
"CHC - I Med Super Speciality Hospital, Villupuram TN." "15/1B, Marakkanam Rd ,Wahab Nagar, Tindivanam, Tamil Nadu 604001 ,15/1B, Marakkanam Rd ,Wahab Nagar, Tindivanam, Tamil Nadu 604001 ,Tindivanam,Tindivanam" "Villupuram" "9751344576" "Last Updated on: 24/05/2021 03:52 PM" 0 0 0 0 0 0 0 0 "2021-05-24"
"CCC - Iruvelpattu" "Iruvelpattu health care Center,Iruvelpattu health care Center,Iruvelpattu,Thiruvennainallur" "Villupuram" "9786286204" "Last Updated on: 23/05/2021 11:32 AM" 20 11 0 0 0 0 20 11 "2021-05-24"
"CCC - Kandamanadi" "Kandamanadi Health care center,Kandamanadi Health care center,Kandamanadi,Villupuram" "Villupuram" "9486168967" "Last Updated on: 24/05/2021 11:51 AM" 30 25 0 0 0 0 30 25 "2021-05-24"
"CCC - Kiliyanur" "Killiyanur Health care Center,Killiyanur Health care Center,Killiyanur,Vanur" "Villupuram" "9894707579" "Last Updated on: 22/05/2021 11:37 AM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CCC - Law College hostel Perumbakkam CCC Siddha covid care centre" "opp. Chennai silks, ,Salamedu, Viluppuram, Tamil Nadu 605602,Villupuram" "Villupuram" "9487236549" "Last Updated on: 24/05/2021 10:54 AM" 200 156 0 0 0 0 200 156 "2021-05-24"
"CCC - Law College hostel Pidagam" "" "Villupuram" "9789152366" "Last Updated on: 24/05/2021 10:55 AM" 200 142 0 0 0 0 200 142 "2021-05-24"
"CCC - Mailam" "Mailam Health care center,Mailam Health care center,Mailam,Tindivanam" "Villupuram" "9629023001" "Last Updated on: 22/05/2021 11:44 AM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CHC - Maragadam Hospital, Villupuram" "East Pondy Rd, Near Gandhi Statue, Mandhakarai, Viluppuram, Tamil Nadu 605602,Villupuram,Villupuram" "Villupuram" "9994118881" "Last Updated on: 24/05/2021 03:53 PM" 0 0 0 0 0 0 0 0 "2021-05-24"
"CCC - Melchithamur" "Mesithamur Health Care center,Mesithamur Health Care center,Melsithamur,Gingee" "Villupuram" "8870797906" "Last Updated on: 23/05/2021 05:21 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
"CCC - Mugaiyur" "Mugaiyur health Care center,Mugaiyur health Care center,Mugaiyur,Kandachipuram" "Villupuram" "9003325582" "Last Updated on: 23/05/2021 11:03 AM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CCC - Murukkeri" "Murukkeri Health care center,Murukkeri Health care center,Murukkeri,Marakkanam" "Villupuram" "8220379372" "Last Updated on: 22/05/2021 12:32 AM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CCC - Olakkur" "Olakkur health care center,Olakkur health care center,olakkur,Tindivanam" "Villupuram" "9789273973" "Last Updated on: 22/05/2021 12:08 AM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CCC - Paul's Engineering College" "pondy-tindivanam mainroad,pauls nagar,TC koot road,Vanur" "Villupuram" "9500554250" "Last Updated on: 24/05/2021 05:43 PM" 110 16 0 0 0 0 110 16 "2021-05-24"
"CCC - Police quarters Valathy" "" "Villupuram" "9600741579" "Last Updated on: 24/05/2021 04:28 PM" 100 55 0 0 0 0 100 55 "2021-05-24"
"CCC - Polytechnic college Arankandanallur" "" "Villupuram" "9787189089" "Last Updated on: 12/05/2021 11:09 AM" 0 0 0 0 0 0 0 0 "2021-05-24"
"CCC - Radhapuram" "Radhapuram Community Health Center,Radhapuram Community Health Center,Radhapuram,Vikkiravandi" "Villupuram" "9629750920" "Last Updated on: 24/05/2021 04:57 PM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CCC - Sathiamangalam" "Sathiyamangalam Community health center,Sathiyamangalam Community health cente,sathiyamangalam,Gingee" "Villupuram" "9080178905" "Last Updated on: 23/05/2021 03:25 PM" 8 8 0 0 0 0 8 8 "2021-05-24"
"CCC - Siruvanthadu" "Siruvanthadu health care center,Siruvanthadu health care center,siruvanthadu,Villupuram" "Villupuram" "9962299552" "Last Updated on: 24/05/2021 04:51 PM" 10 10 0 0 0 0 10 10 "2021-05-24"
" CCC - St. Ann's college, Tindivanam" "" "Villupuram" "8526086145" "Last Updated on: 24/05/2021 04:32 PM" 110 0 0 0 0 0 110 0 "2021-05-24"
"CCC - St. Patrick's school, v.salai, vikravandi" "" "Villupuram" "8526086145" "Last Updated on: 24/05/2021 04:55 PM" 100 100 0 0 0 0 100 100 "2021-05-24"
"CHC - TINDIVANAM GH" "Hospital road,Tindivanam,Tindivanam" "Villupuram" "9944292804" "Last Updated on: 24/05/2021 10:23 AM" 20 0 12 0 8 0 40 0 "2021-05-24"
"CHC - VALAVANUR GH" "Valavanur,Villupuram" "Villupuram" "9442069328" "Last Updated on: 24/05/2021 04:51 PM" 0 0 0 0 0 0 0 0 "2021-05-24"
" CHC - VANUR GH" "Main road,VANUR taluk,VANUR,Vanur" "Villupuram" "0413_2677181" "Last Updated on: 24/05/2021 08:15 PM" 20 20 20 6 0 0 40 26 "2021-05-24"
"CHC - VIKRAVANDI GH" "Vikkravandi,Vikkiravandi" "Villupuram" "8610388143" "Last Updated on: 24/05/2021 07:33 PM" 20 19 30 0 0 0 50 19 "2021-05-24"
"CHC - VILLUPURAM GH" "Trichy trunk road, Near signal," "Villupuram" "9442378893" "Last Updated on: 24/05/2021 06:40 PM" 31 19 110 0 8 0 149 19 "2021-05-24"
"CCC - VRS Engineering college" "" "Villupuram" "8148936545" "Last Updated on: 24/05/2021 04:54 PM" 120 65 0 0 0 0 120 65 "2021-05-24"
"CCC - Valathi" "Valathy health care center,Valathy health care center,valathy,Gingee" "Villupuram" "9597689914" "Last Updated on: 22/05/2021 12:24 AM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CHC - 24/7 Poison and Emergency care Hospital,Tirupattur" "16c hanumanda uba segar pettai ,Tirupattur ,Behind ponnusamy ITI,Tirupattur" "Vellore" "9486136750" "Last Updated on: 24/05/2021 05:09 PM" 2 0 4 0 1 0 7 0 "2021-05-24"
"CHO - CMCH, Vellore" "Ida Scudder Road,Vellore,Vellore" "Vellore" "4162286328" "Last Updated on: 24/05/2021 04:26 PM" 0 0 745 8 126 0 871 8 "2021-05-24"
"CHC - ESI, Vellore" "GPH ROAD ,Vellore,Vellore" "Vellore" "86103440659486725656" "Last Updated on: 24/05/2021 04:53 PM" 50 45 0 0 0 0 50 45 "2021-05-24"
"CHC - GH, Anaicut" "GH Anaicut,Anaicut,Anaicut" "Vellore" "9486282330 (Morning)" "Last Updated on: 24/05/2021 09:07 PM" 10 10 0 0 0 0 10 10 "2021-05-24"
"CHC - GH, Gudiyatham" "GH GUDIYATHAM,near busstand,gudiyatham,Gudiyatham" "Vellore" "9345308864" "Last Updated on: 24/05/2021 06:01 PM" 88 64 24 0 0 0 112 64 "2021-05-24"
"CHC - GV Annai Hospital, Villapakkam" "opposite to Arcot sri mahalakshmi women's nursing college, Arcot-Arni highway road, villapakkam- 632521, ranipet district,villapakkam, ARCOT,villapakkam, ARCOT,Vellore" "Vellore" "6382977422 (9 AM TO 4 PM)" "Last Updated on: 24/05/2021 05:13 PM" 5 5 15 0 0 0 20 5 "2021-05-24"
"CHO - GVMCH, Vellore" "GVMCH .  Vellore,Vellore" "Vellore" "7402057525 (8.00 AM To 5.00 PM )7200363569 (5.00 PM To  8.00 AM)" "Last Updated on: 24/05/2021 05:12 PM" 203 170 524 0 183 0 910 170 "2021-05-24"
"CHC - Govt Pentland Hospital , Vellore" "GPH ROAD, ,Near Raja Theatre ,KOSAPET,Vellore" "Vellore" "04162221973 (8am to 8am)" "Last Updated on: 24/05/2021 04:40 PM" 0 0 107 0 0 0 107 0 "2021-05-24"
"CHO - Indira Super Speciality Hospital, Katpadi" "NO,320/3A1 CHITTOOR MAIN ROAD,,NO,320/3A1 CHITTOOR MAIN ROAD,,GANDHI NAGAR,Katpadi" "Vellore" "984324425 (9.00 AM TO 9.00 PM)" "Last Updated on: 24/05/2021 04:50 PM" 28 13 2 0 0 0 30 13 "2021-05-24"
" CCC - Kallapadi" "PHC, KALLAPADI,Gudiyatham" "Vellore" "9677877009" "Last Updated on: 24/05/2021 02:23 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
"CCC - Kaniyambadi" "PHC, KANIYAMBADI,AMIRTHI ROAD ,KANIYAMBADI,Vellore" "Vellore" "9629669989" "Last Updated on: 24/05/2021 08:39 PM" 10 10 0 0 0 0 10 10 "2021-05-24"
" CHC - Manisundaram Medical Mission, Sathuvacheri" "" "Vellore" "7094494381" "Last Updated on: 24/05/2021 01:09 PM" 11 1 11 1 0 0 22 2 "2021-05-24"
"CHO - Manisundharam hospital" "288, South Avenue Road,,Phase-I,Vallalar, Sathuvachari,Vellore" "Vellore" "90031031839994756090" "Last Updated on: 24/05/2021 10:25 PM" 11 0 11 0 0 0 22 0 "2021-05-24"
" CCC - Melpatti" "PHC, MELPATTI,Pernambut" "Vellore" "9600385240" "Last Updated on: 24/05/2021 01:01 PM" 6 6 0 0 0 0 6 6 "2021-05-24"
"CCC - Narayani Nursing College, Vellore" "Sripuram,Thirumalaikodi, Vellore,Vellore" "Vellore" "9499933819" "Last Updated on: 24/05/2021 07:30 PM" 150 150 0 0 0 0 150 150 "2021-05-24"
"CHO - Naruvi Hospitals Vellore" "NARUVI HOSPITALS, A UNIT OF M/S. SANCO FOUNDATION, NO :72/1B2, COLLECTOR OFFICE ROAD, CHENNAI - BANGALORE NATIONAL HIGHWAY (NH48), VELLORE 632004,Vellore" "Vellore" "04166661111" "Last Updated on: 24/05/2021 04:00 PM" 0 0 179 0 29 0 208 0 "2021-05-24"
" CCC - Odugathur" "PHC, ODUGATHUR,Anaicut" "Vellore" "9443360404" "Last Updated on: 24/05/2021 04:06 PM" 6 6 0 0 0 0 6 6 "2021-05-24"
"CCC - Raghavendra polytechnic, Gudiyatham" "SH 127, Netteri, Gudiyatham,Gudiyatham" "Vellore" "9499933819" "Last Updated on: 24/05/2021 07:33 PM" 252 137 0 0 0 0 252 137 "2021-05-24"
"CCC - Rajagopal Polytechnic, Vellore" "SH 59, Gandhi Nagar, Gudiyatham,GUdiyatham,Gudiyatham,Gudiyatham" "Vellore" "9499933819" "Last Updated on: 24/05/2021 08:04 PM" 252 252 0 0 0 0 252 252 "2021-05-24"
" CHC - Schieffelin Institute of Health Research & Leprosy Centre ,Centre,Karigiri" "SLRS POST,KARIGIRI,Katpadi" "Vellore" "9655774227" "Last Updated on: 24/05/2021 04:54 PM" 21 0 5 0 0 0 26 0 "2021-05-24"
"CHO - Sri Narayani Hospital, Vellore" "Azad Rd, Thirumalaikodi, Vellore, Tamil Nadu 632055,Vellore" "Vellore" "4162206309" "Last Updated on: 24/05/2021 01:06 PM" 149 0 41 0 15 0 205 0 "2021-05-24"
"CCC - Thanthai Periyar Engineering College, Vellore" "Thanthai Periyar Engineering College, Bagayam, Vellore,Bagayam,Bagayam,Vellore" "Vellore" "9499933820" "Last Updated on: 24/05/2021 08:15 PM" 793 663 0 0 0 0 793 663 "2021-05-24"
"CCC - Thiruvalam" "PHC, Katpadi,Katpadi" "Vellore" "9994976307" "Last Updated on: 24/05/2021 04:26 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
" CCC - Ussoor" "PHC, Ussoor,Vellore" "Vellore" "9443054534" "Last Updated on: 24/05/2021 05:42 PM" 15 15 0 0 0 0 15 15 "2021-05-24"
"CCC - V.I.T, Vellore" "VIT, Vellore Campus, Tiruvalam Rd, Katpadi, Vellore,Katpadi" "Vellore" "9499933819" "Last Updated on: 24/05/2021 08:10 PM" 1036 1036 0 0 0 0 1036 1036 "2021-05-24"
" CCC - Vaduganthangal" "PHC, Vaduganthangal,K V Kuppam" "Vellore" "9655708482" "Last Updated on: 24/05/2021 04:16 PM" 30 27 0 0 0 0 30 27 "2021-05-24"
"CCC - AKKUR UG PHC" "Upgraded primary Health center ,Akkur,Cheyyar" "Tiruvannamalai" "XXXX" "Last Updated on: 24/05/2021 05:54 PM" 0 0 0 0 0 0 0 0 "2021-05-24"
"CCC - Anna University , Thatchur" "" "Tiruvannamalai" "9486528249" "Last Updated on: 24/05/2021 05:43 PM" 160 10 0 0 0 0 160 10 "2021-05-24"
"CHC - Arani GH" "GH road,,Periyar Nagar,Arani,Arni" "Tiruvannamalai" "9629870210" "Last Updated on: 24/05/2021 04:53 PM" 15 0 18 0 2 0 35 0 "2021-05-24"
"CHC - Arunai medical college Hospital " "Velu nagar, then mathur,Tiruvannamalai,Thiruvannamalai,Tiruvannamalai" "Tiruvannamalai" "04175256200 (8am to 8pm)" "Last Updated on: 24/05/2021 07:10 AM" 0 0 130 0 20 0 150 0 "2021-05-24"
"CCC - Chengam GH" "Tiruvannamalai main road,Chengam,Chengam" "Tiruvannamalai" "9443105533" "Last Updated on: 24/05/2021 04:09 PM" 20 20 0 0 0 0 20 20 "2021-05-24"
"CCC - Cheyyar Polytechnic College" "No 135,Government polytechnic college hostel arcot salai,Cheyyar,Cheyyar" "Tiruvannamalai" "96881161139944843390" "Last Updated on: 24/05/2021 05:09 PM" 390 60 3 0 0 0 393 60 "2021-05-24"
"CCC - DSU AYUSH ANNEXURE 1" "AYUSH ANNEXURE 1, Chengam Road, Tiruvannamalai,Tiruvannamalai" "Tiruvannamalai" "9159766755" "Last Updated on: 24/05/2021 03:55 PM" 157 42 0 0 0 0 157 42 "2021-05-24"
" CCC - DSU BUILDING (AYUSH)" "Thiruvannamalai,Tiruvannamalai" "Tiruvannamalai" "9159766755" "Last Updated on: 24/05/2021 03:56 PM" 42 5 0 0 0 0 42 5 "2021-05-24"
"CHC - District Headquatres Hospital, Cheyyar" "" "Tiruvannamalai" "8754904949" "Last Updated on: 24/05/2021 03:49 PM" 30 5 62 0 8 0 100 5 "2021-05-24"
"CCC - Government Arts College, Tiruvannamalai" "Government arts college,Tiruvannamalai" "Tiruvannamalai" "9952333133" "Last Updated on: 23/05/2021 12:22 AM" 100 14 0 0 0 0 100 14 "2021-05-24"
"CCC - Government Hospital Chetpet" "Polur road Chetpet,Chetpet,CHETPET" "Tiruvannamalai" "9840286486" "Last Updated on: 24/05/2021 04:14 PM" 10 10 0 0 0 0 10 10 "2021-05-24"
"CCC - Government Tiruvannamalai Hospital" "" "Tiruvannamalai" "9159766755" "Last Updated on: 24/05/2021 03:56 PM" 90 16 0 0 0 0 90 16 "2021-05-24"
